Qatar,QAT,2016,2.503818512
Romania,ROU,2016,1.596928076
Russian Federation,RUS,2016,24.192337
Rwanda,RWA,2016,311.4761047
Saudi Arabia,SAU,2016,1.638920188
Sudan,SDN,2016,3.373430014
Senegal,SEN,2016,244.6577148
Singapore,SGP,2016,0.878305554
Solomon Islands,SLB,2016,6.935291302
Sierra Leone,SLE,2016,1975.343994
El Salvador,SLV,2016,0.473463237
San Marino,SMR,2016,0.689131267
Somalia,SOM,2016,7916.910752
Serbia,SRB,2016,40.45516408
Sao Tome and Principe,STP,2016,9.738679886
Suriname,SUR,2016,2.428507805
Slovak Republic,SVK,2016,0.503194
Slovenia,SVN,2016,0.577106
Sweden,SWE,2016,8.822586
Eswatini,SWZ,2016,5.787860394
Sint Maarten (Dutch part),SXM,2016,1.480350852
Seychelles,SYC,2016,7.815332413
Turks and Caicos Islands,TCA,2016,1.071653962
Chad,TCD,2016,246.8844147
Togo,TGO,2016,243.5530853
Thailand,THA,2016,12.73108006
Tajikistan,TJK,2016,2.030313253
Turkmenistan,TKM,2016,1.612786364
Timor-Leste,TLS,2016,0.432427953
Tonga,TON,2016,1.487073164
Trinidad and Tobago,TTO,2016,4.10672617
Tunisia,TUN,2016,0.766765475
Turkey,TUR,2016,1.241052
Tuvalu,TUV,2016,1.176437748
Tanzania,TZA,2016,848.6795654
Uganda,UGA,2016,1211.940186
Ukraine,UKR,2016,5.014206409
Uruguay,URY,2016,22.45382118
United States,USA,2016,1
Uzbekistan,UZB,2016,1179.956705
St. Vincent and the Grenadines,VCT,2016,1.533495069
British Virgin Islands,VGB,2016,1.097537518
Vietnam,VNM,2016,7315.612793
Vanuatu,VUT,2016,104.3121909
Samoa,WSM,2016,1.697068582
Kosovo,XKX,2016,0.339377717
South Africa,ZAF,2016,6.15909338
Zambia,ZMB,2016,3.878826618
Zimbabwe,ZWE,2016,0.521861792
